pay_date,ex_dividend_date,record_date,declaration_date,cash_amount,currency,frequency,distribution_type,historical_adjustment_factor,split_adjusted_cash_amount,ticker,id
2020-12-31,2020-12-21,2020-12-22,2020-12-18,0.56133,USD,4,recurring,0.966391,0.56133,QQQ,E912cfac26133b0b9825c72debdf880f6c33be22d3536cb3dee42b81a16846acc
2021-04-30,2021-03-22,2021-03-23,2021-03-19,0.39468,USD,4,recurring,0.968144,0.39468,QQQ,E24e3fff67142eb5e5f922e85d560d620678e5ec3b30ba668b271685feb74ef73
2021-07-30,2021-06-21,2021-06-22,2021-06-18,0.39679,USD,4,recurring,0.969365,0.39679,QQQ,Ecaf24f1e1a923d4d38e8a21a0b4e8f0d1f42ffecd2fc3236eb230ed653715438
2021-10-29,2021-09-20,2021-09-21,2021-09-17,0.41391,USD,4,recurring,0.970489,0.41391,QQQ,E5bdd91a2c075ef62dd20393040971d7d03fcff3cfb99dc68f874d61c7560f68d
2021-12-31,2021-12-20,2021-12-21,2021-12-17,0.49141,USD,4,recurring,0.971565,0.49141,QQQ,E8c59a53db21ae41d95a42061acb85a5dadb35738646ee6a1895fb4c66c406f0a
2022-04-29,2022-03-21,2022-03-22,2022-03-18,0.43369,USD,4,recurring,0.972807,0.43369,QQQ,E304d6ae2c9a99e686b01cdc2ed7d6b03c857bbfa58a95b8403ca984cfad2cd77
2022-07-29,2022-06-21,2022-06-22,2022-06-17,0.5274,USD,4,recurring,0.974009,0.5274,QQQ,E0453ea5e40a54b1aa1346dadb48a46010d4eacbe81dde4a8e0d62d5bcb3df33e
2022-10-31,2022-09-19,2022-09-20,2022-09-16,0.51856,USD,4,recurring,0.975883,0.51856,QQQ,E6f3f74a5aa044588a936795fffb46115ddb6bf49932beac5d5a6457dd8c0800c
2022-12-30,2022-12-19,2022-12-20,2022-12-16,0.65541,USD,4,recurring,0.977635,0.65541,QQQ,E9808ad2393990b419cae683118f54526d2757098379f6f212c1d7881de1bed3f
2023-04-28,2023-03-20,2023-03-21,2023-03-17,0.47223,USD,4,recurring,0.979977,0.47223,QQQ,Eed0d866be2abc5996c4faf1dd3d15ba1a2bc82c6f2afa6730abcf9d0d81af1a6
