pay_date,ex_dividend_date,record_date,declaration_date,cash_amount,currency,frequency,distribution_type,historical_adjustment_factor,split_adjusted_cash_amount,ticker,id
2020-10-30,2020-09-18,2020-09-21,2020-01-16,1.339224,USD,4,recurring,0.920906,1.339224,SPY,E6cd44bc97a607578212deb914f2ca332e71775c3b3e482e76c13bf34c230c1cd
2021-01-29,2020-12-18,2020-12-21,2020-01-16,1.58,USD,4,recurring,0.924593,1.58,SPY,E3d7b7fad78a848b88d7d9a25c6399a6dad4bfb6848fece6453310d6818f5dd49
2021-04-30,2021-03-19,2021-03-22,2021-01-22,1.277788,USD,4,recurring,0.928534,1.277788,SPY,E5a592428a3aea1d623193f670a799957017ee37db30934164daae51c46593869
2021-07-30,2021-06-18,2021-06-21,2021-01-22,1.375875,USD,4,recurring,0.931575,1.375875,SPY,E85a2897f30676f55aac1aa1c360966962f80f3e411212a897d966ee6ca796eef
2021-10-29,2021-09-17,2021-09-20,2021-09-16,1.428117,USD,4,recurring,0.934622,1.428117,SPY,Ef59e5d38fba0da146bc8f51ac8162f25aaa136927ef19b03610e2bcf9b894319
2022-01-31,2021-12-17,2021-12-20,2021-01-22,1.636431,USD,4,recurring,0.937617,1.636431,SPY,E970e71c37292ac8bc5111a50231cb89fea0cc8285ba8378f60f3436300945f21
2022-04-29,2022-03-18,2022-03-21,2022-01-24,1.366009,USD,4,recurring,0.940918,1.366009,SPY,E3e36d680c2f56c7fc231fe290a7e1648a22d06bd5fcc0900f2fcef2301b9450c
2022-07-29,2022-06-17,2022-06-21,2022-01-24,1.576871,USD,4,recurring,0.943841,1.576871,SPY,E251467be0d33868aefd7b64df54d41ef146db4921b05da17acf262251fa4b4be
2022-10-31,2022-09-16,2022-09-19,2022-01-24,1.596398,USD,4,recurring,0.947918,1.596398,SPY,Ed05fe70931cef979e0714a7c4788e07196aecc8c9774e287b3f8e80edd5ce51b
2023-01-31,2022-12-16,2022-12-19,2022-01-24,1.7814,USD,4,recurring,0.951813,1.7814,SPY,E5d30d3644e6aa81f80aa3afcf9aa816bba45ec836cfc6e543b0d1f21a757b601
2023-04-28,2023-03-17,2023-03-20,2023-01-19,1.506204,USD,4,recurring,0.956184,1.506204,SPY,Ea362f654cdb78e5739a8835683bcfbeee5b31e33b6373ef29c5fdb9748123999
2023-07-31,2023-06-16,2023-06-20,2023-01-19,1.638367,USD,4,recurring,0.959834,1.638367,SPY,E1fcf1595ff5c1a2422c6d887ba9a2782721cab457b115f99b790add79a750b47
2023-10-31,2023-09-15,2023-09-18,2023-01-19,1.583169,USD,4,recurring,0.9634,1.583169,SPY,E556549acb4e05efeb108d692a600aa00fc8d764526408666db1141cdc611869f
2024-01-31,2023-12-15,2023-12-18,2023-01-19,1.906073,USD,4,recurring,0.966799,1.906073,SPY,Eeaf8d5cdcaa1e6c1741a7e32b9119d74b5ca4a300e40996912b873781b44869c
2024-04-30,2024-03-15,2024-03-18,2024-01-05,1.594937,USD,4,recurring,0.970719,1.594937,SPY,E7714a05eb2dd1ff416985e3050341ddab3301ebb99e67f4c63029287354686b4
2024-07-31,2024-06-21,2024-06-21,2024-01-05,1.759024,USD,4,recurring,0.973735,1.759024,SPY,Edcee2398a57d53c2f033f9f8b73a4f521e9084f5a1ced8ffcb58334e14736bab
2024-10-31,2024-09-20,2024-09-20,2024-01-05,1.745531,USD,4,recurring,0.976876,1.745531,SPY,E18c2f8e74e35faf64cadbc2d04cca0867466e0c20135896077d737a9de8b06cc
2025-01-31,2024-12-20,2024-12-20,2024-01-05,1.965548,USD,4,recurring,0.979872,1.965548,SPY,Eeefb501a8246a96652f1218e9866dac0e092dc16d45ecc315b7727d521c3a7d2
2025-04-30,2025-03-21,2025-03-21,2025-01-09,1.695528,USD,4,recurring,0.983169,1.695528,SPY,Eb04b1a7e3d6a8af30ff4daab00f417332c8cf92c0ba04b22d70b2a7eb0494814
2025-07-31,2025-06-20,2025-06-20,2025-01-09,1.761117,USD,4,recurring,0.986126,1.761117,SPY,Edba812f9dca76ea5fdc866fa5cc64e479d18e85a5185d322d5042d3d3b2752ad
2025-10-31,2025-09-19,2025-09-19,2025-01-09,1.831114,USD,4,recurring,0.989041,1.831114,SPY,E0b786f62b85924b9de962dfdb21261adeca83aa42468a6768cd54e3be77eef2c
2026-01-30,2025-12-19,2025-12-19,2025-01-09,1.993368,USD,4,recurring,0.991783,1.993368,SPY,Ee8fbe93f46a28f98bf5c67977c3ce69b154d3f8f3a9a4d032654b996ea676fa0
2026-04-30,2026-03-20,2026-03-20,2026-01-02,1.796999,USD,4,recurring,0.994714,1.796999,SPY,Ef4a655cfccd5c5c0513bd4a38e2ee99439bd8abd24168dfa2df7f5e4c69948d9
2026-07-31,2026-06-18,2026-06-18,2026-01-02,1.903516,USD,4,recurring,0.997431,1.903516,SPY,E5f8cb568f1ff3bfec9921c115d5ff8bc4c86def1dbc616a3c7e18e45e4ed7f06
